business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,Tuesday,Wednesday,Thursday,Friday,Saturday,hours,Monday,Sunday,RestaurantsDelivery,BusinessAcceptsCreditCards,RestaurantsPriceRange2,DogsAllowed,NoiseLevel,RestaurantsTakeOut,Caters,BikeParking,attributes,HappyHour,WheelchairAccessible,OutdoorSeating,RestaurantsGoodForGroups,Alcohol,RestaurantsReservations,GoodForKids,HasTV,RestaurantsAttire,DriveThru,WiFi,ByAppointmentOnly,BusinessAcceptsBitcoin,RestaurantsTableService,Corkage,BYOBCorkage,Smoking,CoatCheck,GoodForDancing,BYOB,AcceptsInsurance,Open24Hours,garage,street,validated,lot,valet,BusinessParking,Ambience,touristy,hipster,romantic,divey,intimate,trendy,upscale,classy,casual,Music,dj,background_music,no_music,jukebox,live,video,karaoke,GoodForMeal,dessert,latenight,lunch,dinner,brunch,breakfast,BestNights,monday,tuesday,friday,wednesday,thursday,sunday,saturday,DietaryRestrictions,dairy-free,gluten-free,vegan,kosher,halal,soy-free,vegetarian
cwuMF0s-1MK-uY90CZUm0w,Honey Dew Donuts,140 Canal St,Salem,MA,01970,42.508669,-70.896219,4.0,13,1,"Desserts, Food, Bakeries, Bagels, Coffee & Tea, Sandwiches, Restaurants",,,,,,0,,,False,True,1,,'average',True,False,True,1,,,False,True,'none',False,True,True,u'casual',,'no',,,False,,,,,,,,,False,False,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
7ASTprVQik21AD8SikpT0A,Toot Sweet Cupcakes,"14141 Hwy 290 W, Ste 200",Austin,TX,78737,30.195136,-98.008075,2.5,53,1,"Bakeries, Caterers, Desserts, Food, Event Planning & Services",,,,,,0,,,True,True,2,,,True,True,False,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
zCEwZvPGvKpOPegej4xuZQ,Frullati,640 Old San Antonio Rd,Buda,TX,78610,30.0863768,-97.8225609,4.0,22,1,"Bakeries, Sandwiches, Food, Restaurants, Desserts, Juice Bars & Smoothies",8:30-21:0,8:30-21:0,8:30-21:0,8:30-22:0,8:30-22:0,1,0:0-0:0,9:0-21:0,True,,,,,True,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
DsaUSvfTMuFhGChyrBsCng,Brekkie Shack,1060 Yard St,Grandview Heights,OH,43212,39.982424,-83.027314,3.5,175,1,"Breakfast & Brunch, Cocktail Bars, Food, Bars, Nightlife, American (New), Coffee & Tea, Restaurants, Bakeries, Salad, Venues & Event Spaces, Event Planning & Services",7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,8:0-17:0,1,7:0-16:0,8:0-17:0,True,True,2,True,u'average',True,True,True,1,,True,True,,u'full_bar',False,True,True,u'casual',,u'free',,,False,,,,,,,,,True,True,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
OU0827ksEwt00J13FZROrw,Panera Bread,8120 W Irlo Bronson Memorial Hwy,Kissimmee,FL,34747,28.3463202159,-81.6107992083,2.5,65,1,"Food, Soup, Sandwiches, Bagels, Salad, Breakfast & Brunch, Restaurants, Bakeries",6:30-21:0,6:30-21:0,6:30-21:0,6:30-21:0,6:30-21:0,1,6:30-21:0,7:0-21:0,True,True,1,,'average',True,True,True,1,,,True,True,'none',False,True,True,u'casual',True,u'free',,,,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,False,True,0,,,,,,,,1,,False,True,,,True,0,,,,,,,,0,,,,,,,
DF60u_0flQzqTcBqaLL4Iw,Lee's Donuts,1689 Johnston Steet,Vancouver,BC,V6H 3R9,49.2722566137,-123.135279,4.0,287,1,"Bakeries, Food, Donuts",9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,1,9:0-19:0,9:0-19:0,False,,1,False,,True,True,True,1,False,True,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
-v2WBDyAfqCkzP9nYoVwvA,Stoughton Bakery,29 Wyman St,Stoughton,MA,02072,42.1241149,-71.1028181,4.0,17,1,"Bakeries, Food, Restaurants, Desserts",5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,6:0-16:0,1,5:0-17:0,,False,True,1,,,True,,True,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
86ojKiHHj7i40JO938JJ4A,Full English,2000 Southern Oaks Dr,Austin,TX,78745,30.2189114,-97.7957243,4.0,295,0,"Breakfast & Brunch, Tea Rooms, Food Stands, Food, Restaurants, British, Bakeries",,9:0-19:30,9:0-19:30,17:0-20:0,17:0-20:0,1,0:0-0:0,17:0-20:0,True,True,1,True,u'average',True,True,True,1,,True,True,True,u'beer_and_wine',True,True,False,u'casual',,u'free',,False,False,,,,,,,,,False,True,False,True,False,1,1,False,False,False,False,False,False,False,False,True,0,,,,,,,,1,False,False,False,False,True,True,0,,,,,,,,0,,,,,,,
FyCYxlexC86eKkQCIu2ORQ,Bonchaz Bakery Café,426 W Hastings Street,Vancouver,BC,V6B 1L1,49.2835904,-123.1115798,3.5,91,1,"Coffee & Tea, Local Flavor, Food, French, Sandwiches, Restaurants, Bakeries",8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,,1,8:0-15:0,,True,,1,,u'average',True,True,True,1,,False,False,True,u'none',False,True,False,u'casual',,u'free',False,,,,,,,,,,,False,True,False,False,False,1,1,False,False,False,,False,False,False,False,True,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
PFIrTQ82SU-3foF59sn55w,Nancy's Kitchen,2390 NW Thurman St,Portland,OR,97210,45.535381,-122.700624,4.0,70,0,"Event Planning & Services, Restaurants, Coffee & Tea, Cupcakes, Breakfast & Brunch, Bakeries, American (Traditional), Sandwiches, Caterers, Food, American (New), Desserts",7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-15:0,1,,7:0-14:0,False,True,2,False,u'quiet',True,True,True,1,,True,False,True,u'none',True,True,False,'casual',,u'no',,False,True,,'no',,,,,,,False,True,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,1,False,False,False,False,False,True,0,,,,,,,,0,,,,,,,
WU52_Epi493M_YqXPZo-6Q,Piece of Cake,"3220 Cobb Pkwy, Ste 101",Atlanta,GA,30339,33.8731681262,-84.456871748,3.0,78,1,"Bakeries, Cupcakes, Ice Cream & Frozen Yogurt, Patisserie/Cake Shop, Food",11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,10:0-17:0,1,0:0-0:0,12:0-17:0,True,True,2,,u'quiet',True,True,False,1,,True,,,,,,,,,,,False,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
l4yLq7itIFNCveWFgaQ1aA,El Progreso,1460 Blvd SE,Atlanta,GA,30315,33.714359,-84.3683158,4.5,104,1,"Specialty Food, Butcher, Ethnic Food, Food, Tacos, Convenience Stores, Restaurants, Mexican, Bakeries, Imported Food",9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,1,9:0-21:30,9:0-21:30,None,True,1,,u'average',None,True,False,1,False,,None,True,u'none',False,True,True,'casual',,'no',,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,1,False,False,True,False,False,False,0,,,,,,,,0,,,,,,,
RBMVlndM00k337gKiGUlRw,Flourish Bake Shoppe,79 Rantoul St,Beverly,MA,01915,42.5444842,-70.8845975,4.5,31,1,"Caterers, Food, Custom Cakes, Bakeries, Event Planning & Services, Cupcakes, Restaurants",10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,8:0-2:0,1,,,False,True,1,,,True,,True,1,,,,,,,,,,,,False,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
6UAwQgu7ElZ0VuRlTpcDnA,Wild Wood Art Cafe,"3663 Bee Cave Rd, Ste 4A",Austin,TX,78746,30.2789185,-97.8072074,3.5,44,0,"Sandwiches, Food, Vegetarian, Delis, Arts & Entertainment, Coffee & Tea, Desserts, Art Galleries, Gluten-Free, Bakeries, Shopping, Restaurants",10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,9:0-17:0,1,10:0-18:0,,False,True,2,,u'quiet',True,True,,1,,,True,True,u'beer_and_wine',False,True,False,'casual',,,False,,,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
HSo5-FSgOQrOLWPz_KCkxQ,Daily Delicious Bakery,"2811 No. 3 Road, Unit 110",Richmond,BC,V6X 2B2,49.1931951055,-123.1297635509,4.5,19,1,"Food, Bakeries, Coffee & Tea",,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0,1,,11:0-17:0,,,,False,u'quiet',,,,1,,,,,,,,,,,u'free',,,,,,,,,,,,,True,,,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
jJP0FVA7PY7R0SkGaNC9Kg,St. Honoré Boulangerie,2335 NW Thurman St,Portland,OR,97210,45.535636,-122.6996681,4.0,532,1,"Coffee & Tea, Sandwiches, Bakeries, Restaurants, Food",6:30-20:0,6:30-20:0,6:30-14:0,6:30-20:0,6:30-20:0,1,0:0-0:0,6:30-17:0,True,True,2,True,u'average',True,True,True,1,False,True,True,True,'none',False,True,False,'casual',,u'free',False,,False,,,,,,,,,False,True,False,True,False,1,1,False,False,False,False,False,False,False,True,True,0,,,,,,,,1,True,False,True,False,True,True,0,,,,,,,,0,,,,,,,
DKOXz1VIlZTVA2OXJu5VhQ,Hodgepodge Coffeehouse,"1 Moreland Ave SE, Ste C",Atlanta,GA,30316,33.7533702,-84.3493986,4.5,12,1,"Food, Cafes, Restaurants, Bakeries, Coffee & Tea",7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,1,7:0-17:0,8:0-17:0,True,True,1,False,,True,False,False,1,False,True,False,,u'none',False,,False,,,u'paid',,False,False,,,,,,,,,False,True,False,True,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
R0PF5z-x0KOMZFo1IrvHFA,Cobs Bread,250 - 3025 Lougheed Hwy,Coquitlam,BC,V3B 6J6,49.2758791,-122.7926949,2.0,5,1,"Bakeries, Food",6:0-19:30,6:0-19:30,6:0-19:30,6:0-19:30,6:0-19:30,1,6:0-19:30,6:0-19:30,False,,2,,,False,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
cii8UBQ9YlbKxEs4orjwEg,Corner Bakery Cafe,9761 Great Hills Trl,Austin,TX,78759,30.3938282471,-97.7507278635,3.5,151,1,"Bakeries, Cafes, American (Traditional), Breakfast & Brunch, Restaurants, Food",7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,8:0-21:0,1,7:0-21:0,8:0-20:0,True,True,1,False,u'average',True,True,True,1,,,True,True,u'none',False,True,False,u'casual',,'free',,,False,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,False,True,0,,,,,,,,1,False,False,True,False,False,True,0,,,,,,,,0,,,,,,,
xCUDIsMo4wk3qL_-RYJkqg,Lucy's Cakes,5320 Bee Caves Rd,Austin,TX,78746,30.2923249,-97.8214333,2.5,9,0,"Bakeries, Restaurants, Food",,,,,,0,,,,True,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
aF8kRMM0ehoqwM82yH6Zvw,Plaisir Sucré,2668 Arbutus Street,Vancouver,BC,V6J 5L8,49.2621953142,-123.1528177074,4.0,69,1,"Restaurants, Food, Bakeries, Coffee & Tea, Desserts, French",7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,1,,7:30-17:0,False,,1,,u'average',True,True,True,1,,,True,False,u'none',False,True,True,u'casual',,u'no',,,,,,,,,,,,False,True,False,False,False,1,1,False,False,False,,False,False,False,False,False,0,,,,,,,,1,False,False,False,False,True,False,0,,,,,,,,0,,,,,,,
jKoWRLBpXdkjw1kHaTR-cQ,Loraine's Cakes,,Austin,TX,78749,30.2175453,-97.8558357,4.5,5,0,"Food, Bakeries",9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
DriLb9Z5mYCS4hGhtIGxWQ,Jim & Patty's Coffee,4130 SW 117th Ave,Beaverton,OR,97005,45.4899553952,-122.7970009529,4.5,495,1,"Food, Breakfast & Brunch, Bakeries, Restaurants, Coffee & Tea",6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,1,6:0-16:0,7:0-16:0,True,True,1,False,u'average',True,False,True,1,False,,None,True,u'none',False,True,True,u'casual',,u'free',,,False,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,True,True,0,,,,,,,,1,False,False,False,False,True,True,0,,,,,,,,0,,,,,,,
7KO5OF7oHGCE4w7xVqlVpQ,Ja Das Desserts,,Portland,OR,97201,45.505603,-122.6882145,5.0,18,1,"Bakeries, Food",,,,,,0,,,,True,2,,,True,,True,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
HMlIIeVWTI3PCSlqDEVopw,Cafe Brioche Doree Bakery,9075 Airport Blvd,Orlando,FL,32827,28.4343053056,-81.313903816,2.0,42,1,"Restaurants, Bakeries, Food, Cafes",,,,,,0,,,False,True,2,,,True,False,False,1,,,False,True,'beer_and_wine',False,True,False,'casual',,'free',,,,,,,,,,,,False,False,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
jla7E5o9EW6l6K0JEx-qHg,Seoul Bakery,56 Harvard Ave,Allston,MA,02134,42.3543449,-71.1323106,3.5,14,0,"Food, Bakeries, Restaurants",,,,,,0,,,,False,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
BU-9PmQa9tlwIrG8tCfW_A,Carina's Bakery,"4725 SW Lombard Ave, Ste 108",Beaverton,OR,97005,45.4857596604,-122.8007178105,4.0,72,1,"Coffee & Tea, Bakeries, Desserts, Restaurants, Food, Vegan",9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-15:0,1,9:0-15:0,9:0-15:0,True,True,1,False,,True,True,True,1,False,True,True,,u'none',False,,True,,,'free',,False,False,False,,,,,False,,,False,True,False,False,False,1,1,False,False,False,False,False,False,False,True,False,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
FRRuZX7aAop6ZYBzU8p4SA,Pájaro,1816 S River Dr,Portland,OR,97201,45.5088197,-122.6732839,5.0,9,1,"Food, Cafes, Restaurants, Coffee & Tea, Vegan, Bakeries",9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,1,,9:0-16:0,False,True,,,,True,False,True,1,,True,True,,,,,False,,,,,,True,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
6Yv84V_CImCYdI0uzfJ-1w,Cobs Bread,1702 Robson Street,Vancouver,BC,V6G 1C9,49.2904653,-123.1342703,3.5,32,1,"Bakeries, Food",7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,1,7:0-21:0,7:0-21:0,True,,1,,,True,,True,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
v3GeLGYvL2EqlGys2XyE4w,Noir Cafe,29 S Orange Ave,Orlando,FL,32801,28.5414301035,-81.3788900524,4.5,35,0,"Italian, Sandwiches, Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Cafes, Internet Cafes, Bakeries",7:0-17:0,7:0-17:0,7:0-21:0,7:0-16:0,7:0-17:0,1,0:0-0:0,7:0-15:0,True,True,1,True,'quiet',True,True,False,1,,True,True,True,u'none',False,True,False,'casual',,u'free',False,,False,,,,,,,,,False,False,True,False,False,1,1,False,False,False,False,False,True,False,False,True,0,,,,,,,,1,False,False,True,False,False,True,0,,,,,,,,0,,,,,,,
LuztSCy-VsNAD-fLHS0Zgw,The French Cafe,"16412 New Independence Pkwy, Ste 140",Winter Garden,FL,34787,28.4740406,-81.6278684,4.0,84,1,"Bakeries, Restaurants, Coffee & Tea, French, Food",7:0-19:30,7:0-19:30,7:0-19:30,7:0-19:30,7:0-19:30,1,7:0-19:30,7:0-19:30,True,True,,,u'average',True,,,1,,,True,False,,False,True,False,u'casual',,u'free',,,,,,,,,,,,False,,False,,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
7u6FHRxx0JMA087sPjaXRQ,Savary Island Pie Company,1533 Marine Drive,West Vancouver,BC,V7V 1H9,49.3286616,-123.1574885,3.5,156,1,"Food, Sandwiches, Coffee & Tea, Restaurants, Bakeries",6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,6:0-19:0,1,6:0-19:0,6:0-19:0,True,,2,False,u'average',True,True,True,1,,True,True,True,u'beer_and_wine',False,True,False,'casual',,u'no',,,False,,,,,,,,,False,True,False,False,False,1,1,False,False,False,,False,False,False,False,True,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
6IG7cGtRct3SGeeKqBuqKA,Espresso Place,1350 Terrell Mill Rd SE,Marietta,GA,30067,33.9193198562,-84.4658058814,5.0,31,0,"Coffee & Tea, Bakeries, Food",,,,,,1,0:0-0:0,,None,True,1,,,True,True,True,1,,True,False,,,,,,,,'free',False,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
9XH1ifXN_bkOXaUDYM4LGw,Oriental Grocery and Bakery,707 E Braker Ln,Austin,TX,78753,30.376854,-97.6776393,4.0,18,0,"Food, Grocery, Filipino, Bakeries, Restaurants",8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,1,8:0-18:0,9:0-17:0,False,True,1,,'quiet',True,True,False,1,,,False,False,,False,True,True,'casual',,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
mle4XVlPQBH-IBdJiKpEAg,Destination Donuts,59 Spruce St,Columbus,OH,43215,39.9718576,-83.0043273,4.0,179,1,"Food, Grocery, Donuts, Bakeries",,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,1,,10:0-17:0,,True,1,,,True,True,True,1,,,,,,,True,,,,,False,,,,,,,,,,,False,False,True,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
mAmLdDebNphIahyH1aZuXA,Suzette Creperie,3342 SE Belmont St,Portland,OR,97214,45.5163133,-122.6300088,4.5,151,1,"Beer Bar, Bars, Bakeries, Cocktail Bars, Nightlife, Breakfast & Brunch, Restaurants, Creperies, Food",,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,1,0:0-0:0,11:0-19:0,True,True,2,False,u'quiet',True,True,True,1,True,True,True,True,u'full_bar',True,True,False,u'casual',,u'free',,False,False,,,u'no',False,,,,,False,True,False,False,False,1,1,False,,,False,True,,False,True,,1,,False,False,False,,False,,0,,,,,,,0,,,,,,,,0,,,,,,,
J6fjXfXxxIKDTDcBsR8MNw,Palacsinta,1404 McLendon Ave NE,Atlanta,GA,30307,33.7650522,-84.3415619,4.5,15,1,"Restaurants, Food, Desserts, Food Trucks, Hungarian, Creperies, Bakeries, Food Stands",,,15:0-18:0,15:0-18:0,10:0-18:0,1,,12:0-18:0,False,True,2,,,True,,True,1,,True,True,True,,True,True,True,'casual',,,,False,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
LOIWJ_M9o_ssgBKhbMDgJg,Sammy Cheezecake,3875 Washington Rd,East Point,GA,30344,33.6506062942,-84.4895018265,4.5,109,1,"Desserts, Custom Cakes, Cheesesteaks, Restaurants, Food, Bakeries, Patisserie/Cake Shop",10:0-19:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,1,10:0-19:0,,True,True,2,False,u'quiet',True,True,True,1,,True,False,False,'none',False,True,False,'casual',,'no',,,False,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
60MTHVbkmzk2Vq_7kY-7gQ,Asian Market,411 Waverly Oaks Road,Waltham,MA,02452,42.386903,-71.2016739,3.5,5,0,"Bakeries, Restaurants, Specialty Food, Chinese, Ethnic Food, Food",,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
Z8XWRWaOnjwuJOWbnnGQ1w,Alon's Bakery and Market,4505 Ashford Dunwoody Rd NE,Dunwoody,GA,30346,33.9252148,-84.3372333,4.0,599,1,"Bakeries, Restaurants, Food, Pizza, Sandwiches, Cafes, Coffee & Tea",9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,1,,9:0-19:0,True,True,2,,u'average',True,True,True,1,False,True,None,True,u'beer_and_wine',False,True,False,u'casual',,u'free',False,,False,,,,,False,,,,False,True,False,True,False,1,1,False,False,False,False,False,False,False,True,False,1,False,False,False,False,False,False,False,1,False,False,False,False,False,False,1,False,False,False,False,False,False,False,0,,,,,,,
g76NObgXLf7lXmbjUegJIw,La Joconde Cakes,925 NW 19th Ave,Portland,OR,97209,45.529706,-122.6907711,5.0,9,1,"Food, Event Planning & Services, Bakeries, Caterers",9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,,1,9:0-17:0,,True,True,3,False,,False,,True,1,,True,,,,,,,,,,,False,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
wzMPfbN67ccOUk_bDVYEww,Paul Bakery,1245 Worcester St,Natick,MA,01760,42.3019258,-71.3843794,3.0,53,0,"Home Services, Food, Bakeries, Keys & Locksmiths",9:30-21:0,9:30-21:0,9:30-21:0,9:30-21:0,9:30-21:0,1,9:30-21:0,10:0-18:0,False,True,2,,,True,True,True,1,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
hCEiFWK8Gq08SQ8mHwRGzg,Tuula's European Cafe,3856 Hard Rd,Dublin,OH,43017,40.1197088,-83.0927027,4.0,85,0,"Ice Cream & Frozen Yogurt, Cafes, Restaurants, Mediterranean, Modern European, Sandwiches, Soup, Italian, Greek, Coffee & Tea, Bakeries, Food, Desserts",9:0-15:0,9:0-15:0,9:0-15:0,9:0-15:0,9:0-15:0,1,0:0-0:0,10:0-15:0,False,True,1,,u'quiet',True,True,True,1,,True,True,True,u'none',False,True,True,u'casual',,u'free',False,,False,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,True,True,0,,,,,,,,1,True,False,True,False,True,False,0,,,,,,,,0,,,,,,,
5y5DyLuwiBOtok8LcDmBEg,Kushala Sip Coffee House,"335 Main St, Ste 101",Stoneham,MA,02180,42.480828,-71.1004,4.0,87,1,"Food, Coffee & Tea, Salad, Sandwiches, Bakeries, Restaurants",6:30-17:30,6:30-17:30,7:0-16:0,6:30-17:30,7:0-17:30,1,0:0-0:0,8:0-15:0,True,True,1,True,,True,True,True,1,False,True,True,,'none',False,,False,,,u'free',False,False,False,,,,,,,,,False,True,False,True,False,1,0,,,,,,,,,,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
Nsim8k-21lwbfzMk1GMfUg,Ba Le Field Corner,1449 Dorchester Ave,Dorchester,MA,02122,42.301172,-71.060096,3.0,12,0,"Food, Sandwiches, Vietnamese, Bakeries, Restaurants",5:30-20:0,5:30-20:0,5:30-20:0,5:30-20:0,5:30-20:0,1,5:30-20:0,6:0-20:0,False,True,1,,u'quiet',True,,,1,,,False,True,u'none',False,True,False,u'casual',,u'no',,,,,,,,,,,,False,True,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
q2-sCJaZU8sWT9PSgR1LAA,Graeters Ice Cream,147 Easton Town Ctr,Columbus,OH,43219,40.050664,-82.915593,4.0,26,1,"Desserts, Candy Stores, Specialty Food, Bakeries, Ice Cream & Frozen Yogurt, Food",10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,10:0-22:0,1,10:0-21:0,12:0-18:0,True,True,2,,,True,,True,1,,,,,,,,,,,'free',,,,,,,,,,,,True,False,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
1SSBSlRPnPETQa3EKAhVWw,LA SAISON Bakery,407 Concord Ave,Cambridge,MA,02138,42.3859141,-71.1380295,5.0,15,1,"Food, Specialty Food, Restaurants, Patisserie/Cake Shop, Chocolatiers & Shops, Sandwiches, Coffee & Tea, Bakeries",,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,1,8:0-16:0,8:0-16:0,,True,,False,,True,True,,1,,True,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
FLpCTWxqGpGrebIeVCNIZQ,Macaron Sweeterie,848 Mass Ave,Lexington,MA,02421,42.431224,-71.208094,4.0,40,0,"Ice Cream & Frozen Yogurt, Bakeries, Food, Coffee & Tea",,,,,,0,,,,True,3,,,,,,1,,,False,,,,,,,,u'no',,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
lz-muky2kUYUbab8I7ZFJg,Kyla's Keto Treats,1332 Majestic Oak Dr,Apopka,FL,32712,28.704135,-81.4673986,5.0,13,1,"Donuts, Custom Cakes, Food, Bakeries",,,,,,0,,,,,,,u'quiet',,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
